i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Absorber,s_Water
790,39.49999999999989,9.756356504944534e-09,0.008117706728204591,6.5453335256061,7.801323957103962e-13,212.7659574465391,1.7042988445635446e-14,1107.0483864642276,55555.555555555555
800,39.999999999999865,9.756219291654957e-09,0.008117706728204858,6.545333557535179,7.801323995159943e-13,212.76595744653568,1.7042988528773885e-14,1107.0483864642276,55555.555555555555
810,40.49999999999984,9.756091106258178e-09,0.00811770672820512,6.545333589463828,7.801324033215412e-13,212.76595744653227,1.70429886119112e-14,1107.0483864642276,55555.555555555555
820,40.99999999999981,9.755957484714013e-09,0.008117706728205387,6.545333621392045,7.801324071270365e-13,212.76595744652886,1.7042988695047396e-14,1107.0483864642276,55555.555555555555
830,41.49999999999978,9.755828522728288e-09,0.008117706728205646,6.545333653319836,7.801324109324812e-13,212.76595744652545,1.7042988778182475e-14,1107.0483864642276,55555.555555555555
840,41.99999999999975,9.755698395855348e-09,0.008117706728205915,6.5453336852471935,7.801324147378741e-13,212.76595744652204,1.7042988861316436e-14,1107.0483864642276,55555.555555555555
850,42.49999999999972,9.755564644884843e-09,0.008117706728206178,6.545333717174126,7.801324185432164e-13,212.76595744651863,1.704298894444928e-14,1107.0483864642276,55555.555555555555
860,42.999999999999694,9.75543581233697e-09,0.00811770672820644,6.545333749100626,7.801324223485071e-13,212.76595744651522,1.7042989027581e-14,1107.0483864642276,55555.555555555555
870,43.499999999999666,9.75530160835791e-09,0.008117706728206709,6.545333781026693,7.801324261537463e-13,212.7659574465118,1.7042989110711602e-14,1107.0483864642276,55555.555555555555
880,43.99999999999964,9.755170057739296e-09,0.008117706728206971,6.545333812952335,7.801324299589347e-13,212.7659574465084,1.7042989193841083e-14,1107.0483864642276,55555.555555555555
890,44.49999999999961,9.7550393484314e-09,0.00811770672820724,6.545333844877542,7.801324337640713e-13,212.76595744650498,1.7042989276969446e-14,1107.0483864642276,55555.555555555555
900,44.99999999999958,9.754907085939963e-09,0.0081177067282075,6.545333876802324,7.801324375691574e-13,212.76595744650157,1.704298936009669e-14,1107.0483864642276,55555.555555555555
910,45.49999999999955,9.754775664759244e-09,0.008117706728207765,6.545333908726674,7.801324413741917e-13,212.76595744649816,1.7042989443222813e-14,1107.0483864642276,55555.555555555555
920,45.999999999999524,9.754644890741041e-09,0.008117706728208031,6.545333940650595,7.801324451791751e-13,212.76595744649475,1.7042989526347822e-14,1107.0483864642276,55555.555555555555
