i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Structure,s_Water,s_Xenon
3800,38.00000000000101,0.08652853233022863,0.0066207662351993185,2123.2196475350006,2.5306463356998776e-10,192.7659574266324,4.079031389713996e-11,1960.8941677404896,41666.666666666664,0.0037007481911864263
3900,39.00000000000081,0.08660669435410287,0.006625151810372809,2323.9771986262544,2.7699274489954286e-10,192.76595742453546,4.4676946510884546e-11,1960.8941677404896,41666.666666666664,0.003700670358239751
4000,40.00000000000061,0.08667860116288373,0.006629138476730268,2543.078741947579,3.0310726010742636e-10,192.7659574222406,4.8918645994893256e-11,1960.8941677404896,41666.666666666664,0.0037005925157848943
4100,41.00000000000041,0.08674483703081332,0.006632763485915387,2782.2023418032004,3.3160818616359485e-10,192.76595741972966,5.354788685891503e-11,1960.8941677404896,41666.666666666664,0.0037005146628041274
4200,42.00000000000021,0.0868059269998772,0.006636060310659577,3043.179737180732,3.627138463848255e-10,192.76595741698299,5.86001170152493e-11,1960.8941677404896,41666.66666666666,0.003700436798186636
4300,43.000000000000014,0.08686234364801051,0.006639059076584136,3328.0104306590947,3.966625596789356e-10,192.7659574139789,6.411403032809616e-11,1960.8941677404896,41666.66666666593,0.0037003589207200106
4400,43.999999999999815,0.0869145129652546,0.0066417869370515754,3638.877070439631,4.337144739151889e-10,192.7659574106942,7.013186417339785e-11,1960.8941677404896,41666.6666666652,0.0037002810290809375
4500,44.999999999999616,0.08696281947339553,0.006644268399727246,3978.1622443245365,4.741535675834279e-10,192.76595740710266,7.669972430688822e-11,1960.8941677404896,41666.666666664474,0.0037002031218250453
4600,45.99999999999942,0.08700761070161143,0.006646525612022449,4348.466815399255,5.182898352075105e-10,192.76595740317651,8.386793954941618e-11,1960.8941677404896,41666.66666666375,0.0037001251973758143
4700,46.99999999999922,0.08704920111130211,0.0066485786113858435,4752.629941114248,5.664616734015989e-10,192.7659573988853,9.169144902942297e-11,1960.8941677404896,41666.66666666302,0.0037000472540124766
4800,47.99999999999902,0.08708787554840146,0.006650445545427054,5193.750930501245,6.190384860120383e-10,192.76595739419554,1.00230224974527e-10,1960.8941677404896,41666.66666666229,0.003699969289856798
4900,48.99999999999882,0.08712389228859246,0.006652142866054247,5675.213108500216,6.764235284849504e-10,192.76595738907073,1.0954973431947248e-10,1960.8941677404896,41666.666666661564,0.003699891302858659
5000,49.99999999999862,0.08715748573062022,0.006653685501147841,6200.709871927153,7.390570134535187e-10,192.76595738347115,1.197214426983611e-10,1960.8941677404896,41666.666666660836,0.003699813290780295
5100,50.99999999999842,0.08718886878442729,0.006655087006749538,6774.2731386000505,8.074195015636375e-10,192.76595737735335,1.3082336471746562e-10,1960.8941677404896,41666.66666666011,0.0036997352511791153
5200,51.999999999998224,0.08721823499368353,0.006656359702294869,7400.304409694862,8.820356037680848e-10,192.76595737066995,1.42940664763563e-10,1960.8941677404896,41666.66666665938,0.0036996571813889337
5300,52.999999999998025,0.08724576042653631,0.006657514791043913,8083.608685667545,9.634780237346615e-10,192.76595736336915,1.5616631299443217e-10,1960.8941677404896,41666.66666665865,0.003699579078499469
5400,53.999999999997826,0.08727160536339595,0.006658562467551814,8829.431498213105,1.0523719716519689e-09,192.76595735539436,1.706018015859811e-10,1960.8941677404896,41666.666666657926,0.0036995009393339705
5500,54.99999999999763,0.0872959158066538,0.006659512013759636,9643.499344907901,1.149399983597931e-09,192.7659573466841,1.8635792677774393e-10,1960.8941677404896,41666.66666665674,0.003699422760424802
5600,55.99999999999743,0.08731882483350512,0.006660371885065756,10532.06383958889,1.255307183783652e-09,192.76595733717116,2.0355564276886182e-10,1960.8941677404896,41666.666666655285,0.0036993445379867717
5700,56.99999999999723,0.08734045381046365,0.006661149787553011,11501.949920366353,1.3709070304229453e-09,192.76595732678186,2.223269940741193e-10,1960.8941677404896,41666.66666665383,0.003699266267888021
